transaction_id,date,customer_id,customer_name,product,category,quantity,unit_price,amount,region,status
TXN-0001,2024-01-03,CUST-101,Contoso Ltd,Laptop Pro 15,Electronics,2,1200.0,2400.0,East,Completed
TXN-0002,2024-01-05,CUST-102,Fabrikam Inc,Office Chair,Furniture,5,350.0,1750.0,West,Completed
TXN-0003,2024-01-07,CUST-103,Northwind Traders,Wireless Mouse,Electronics,10,45.0,450.0,North,Completed
TXN-0004,2024-01-10,CUST-101,Contoso Ltd,Standing Desk,Furniture,3,800.0,2400.0,East,Completed
TXN-0005,2024-01-12,CUST-104,Adventure Works,Monitor 27in,Electronics,4,420.0,1680.0,South,Completed
TXN-0006,2024-01-15,CUST-105,Tailspin Toys,Keyboard MX,Electronics,8,95.0,760.0,West,Pending
TXN-0007,2024-01-18,CUST-102,Fabrikam Inc,Bookshelf,Furniture,2,220.0,440.0,West,Completed
TXN-0008,2024-01-20,CUST-106,Woodgrove Bank,Laptop Pro 15,Electronics,6,1200.0,7200.0,North,Completed
TXN-0009,2024-01-22,,Unknown Customer,USB Hub,Electronics,3,30.0,90.0,East,Completed
TXN-0010,2024-01-25,CUST-103,Northwind Traders,Office Chair,Furniture,1,350.0,350.0,North,Cancelled
TXN-0011,2024-02-01,CUST-107,Lucerne Publishing,Monitor 27in,Electronics,2,420.0,840.0,South,Completed
TXN-0012,2024-02-03,CUST-104,Adventure Works,Standing Desk,Furniture,5,800.0,4000.0,South,Completed
TXN-0013,2024-02-07,CUST-101,Contoso Ltd,Wireless Mouse,Electronics,20,45.0,900.0,East,Completed
TXN-0014,2024-02-10,CUST-108,Datum Corporation,Laptop Pro 15,Electronics,3,1200.0,3600.0,West,Completed
TXN-0015,2024-02-14,CUST-105,Tailspin Toys,Bookshelf,Furniture,4,220.0,880.0,West,Pending
TXN-0016,2024-02-18,CUST-106,Woodgrove Bank,Keyboard MX,Electronics,15,95.0,1425.0,North,Completed
TXN-0017,2024-02-20,CUST-109,Coho Vineyard,Monitor 27in,Electronics,1,420.0,420.0,South,Completed
TXN-0018,2024-02-25,CUST-102,Fabrikam Inc,Standing Desk,Furniture,2,800.0,1600.0,West,Completed
TXN-0019,2024-03-01,CUST-110,Proseware Inc,Laptop Pro 15,Electronics,4,1200.0,4800.0,East,Completed
TXN-0020,2024-03-05,CUST-103,Northwind Traders,USB Hub,Electronics,50,30.0,1500.0,North,Completed
TXN-0021,2024-03-08,CUST-107,Lucerne Publishing,Office Chair,Furniture,3,350.0,1050.0,South,Completed
TXN-0022,2024-03-12,CUST-104,Adventure Works,Keyboard MX,Electronics,7,95.0,665.0,South,Completed
TXN-0023,2024-03-15,CUST-108,Datum Corporation,Bookshelf,Furniture,6,220.0,1320.0,West,Completed
TXN-0024,2024-03-20,CUST-101,Contoso Ltd,Monitor 27in,Electronics,3,420.0,1260.0,East,Completed
TXN-0025,2024-03-22,CUST-111,,Wireless Mouse,Electronics,5,45.0,225.0,East,Completed
TXN-0026,2024-03-28,CUST-109,Coho Vineyard,Standing Desk,Furniture,1,-800.0,-800.0,South,Refunded
TXN-0027,2024-04-02,CUST-105,Tailspin Toys,Laptop Pro 15,Electronics,2,1200.0,2400.0,West,Completed
TXN-0028,2024-04-05,CUST-110,Proseware Inc,Office Chair,Furniture,4,350.0,1400.0,East,Completed
TXN-0029,2024-04-10,CUST-106,Woodgrove Bank,USB Hub,Electronics,25,30.0,750.0,North,Completed
TXN-0030,2024-04-15,CUST-112,Wingtip Toys,Monitor 27in,Electronics,2,420.0,840.0,South,Pending
