campaign_id,campaign_name,campaign_type,objective,platform,target_segment,target_region,start_date,end_date,duration_days,budget_usd,spent_usd,impressions,clicks,ctr_pct,leads_generated,conversions
CAMP-00001,Secured tertiary moratorium,Paid Search,Lead Generation,Twitter,Enterprise,South,2024-01-22,2024-02-24,33,1818.95,1920.33,111178,6678,6.0066,405,211
CAMP-00002,Configurable object-oriented implementation,Trade Show,Lead Generation,Salesforce,SMB,East,2026-05-12,2026-07-24,73,2609.86,1583.05,107107,29444,27.4903,49,46
CAMP-00003,Upgradable clear-thinking knowledgebase,Email,Product Launch,Marketo,Enterprise,North,2023-09-04,2023-10-24,50,35363.04,29412.42,159023,29785,18.73,100,65
CAMP-00004,Vision-oriented heuristic contingency,Social Media,Product Launch,Google Ads,Enterprise,West,2025-07-02,2025-07-19,17,48454.38,48769.26,332978,18158,5.4532,147,92
CAMP-00005,Face-to-face exuding core,Webinar,Product Launch,HubSpot,Mid-Market,South,2024-04-26,2024-05-06,10,1362.77,1114.13,981475,44426,4.5265,178,136
CAMP-00006,Fully-configurable uniform time-frame,Social Media,Product Launch,Facebook,Mid-Market,South,2025-03-16,2025-03-26,10,10625.81,9357.4,435366,13231,3.0391,170,50
CAMP-00007,Multi-tiered zero administration firmware,Email,Lead Generation,LinkedIn,Mid-Market,South,2026-01-07,2026-03-10,62,41248.06,26376.76,258196,9158,3.5469,299,32
CAMP-00008,Grass-roots attitude-oriented circuit,Email,Product Launch,HubSpot,Mid-Market,South,2025-07-29,2025-09-27,60,21565.4,16288.36,110653,49585,44.8113,169,160
CAMP-00009,Sharable optimal benchmark,Email,Upsell,Salesforce,SMB,North,2025-06-25,2025-07-17,22,45739.51,28297.91,594413,15563,2.6182,383,335
CAMP-00010,Right-sized bottom-line benchmark,Trade Show,Upsell,HubSpot,Enterprise,Central,2023-12-07,2024-02-25,80,649.83,470.9,44871,11380,25.3616,362,33
CAMP-00011,Fundamental contextually-based array,Direct Mail,Brand Awareness,Marketo,Enterprise,West,2024-01-10,2024-02-24,45,32505.91,29221.73,1073348,39821,3.71,254,237
CAMP-00012,Multi-lateral demand-driven infrastructure,Webinar,Product Launch,LinkedIn,Enterprise,West,2023-10-31,2024-01-05,66,29720.7,28014.07,143585,36573,25.4713,416,212
CAMP-00013,Ameliorated incremental archive,Paid Search,Product Launch,Google Ads,Enterprise,Central,2023-11-26,2024-02-03,69,14689.42,9174.31,215193,15389,7.1513,245,146
CAMP-00014,Self-enabling asynchronous database,Direct Mail,Customer Retention,Google Ads,Mid-Market,West,2025-01-21,2025-04-13,82,29958.51,26705.97,38114,29333,76.9612,466,58
CAMP-00015,Multi-tiered foreground productivity,Webinar,Lead Generation,Salesforce,Enterprise,East,2025-08-29,2025-09-08,10,11109.94,6949.16,23009,11341,49.2894,235,209
